p p_est sigG sigG_est
0.005 0.1192 0.0001 0.0002564
0.005 0.1086 0.001 0.0003084
0.05 0.1350 0.0001 0.0002529
0.05 0.0482 0.001 0.001419
0.005 0.1323 0.0001 0.0002299
0.005 0.1138 0.001 0.0002901
0.05 0.1393 0.0001 0.0002433
0.05 0.0503 0.001 0.001416
0.005 0.1060 0.0001 0.0002897
0.005 0.1048 0.001 0.0003099
0.05 0.1266 0.0001 0.0002635
0.05 0.0503 0.001 0.00122
0.005 0.1152 0.0001 0.0002655
0.005 0.1132 0.001 0.0002815
0.05 0.1327 0.0001 0.0002571
0.05 0.0500 0.001 0.001313
0.005 0.1304 0.0001 0.0002341
0.005 0.1162 0.001 0.0002798
0.05 0.1366 0.0001 0.0002478
0.05 0.0485 0.001 0.001338
0.005 0.1245 0.0001 0.0002446
0.005 0.1041 0.001 0.0003158
0.05 0.1339 0.0001 0.0002516
0.05 0.0513 0.001 0.001257
0.005 0.1168 0.0001 0.0002608
0.005 0.0933 0.001 0.0003663
0.05 0.1323 0.0001 0.0002598
0.05 0.0477 0.001 0.001523
0.005 0.1132 0.0001 0.0002667
0.005 0.1068 0.001 0.0003034
0.05 0.1322 0.0001 0.0002573
0.05 0.0482 0.001 0.001443
0.005 0.1165 0.0001 0.00026
0.005 0.1012 0.001 0.0003195
0.05 0.1301 0.0001 0.0002624
0.05 0.0536 0.001 0.001317
0.005 0.0945 0.0001 0.0003177
0.005 0.0781 0.001 0.000422
0.05 0.1101 0.0001 0.0003085
0.05 0.0472 0.001 0.001488
0.005 0.1135 0.0001 0.0002684
0.005 0.1025 0.001 0.0003194
0.05 0.1360 0.0001 0.0002561
0.05 0.0531 0.001 0.001396
0.005 0.1275 0.0001 0.0002432
0.005 0.1071 0.001 0.0003252
0.05 0.1254 0.0001 0.0002701
0.05 0.0497 0.001 0.001406
0.005 0.1188 0.0001 0.0002532
0.005 0.1034 0.001 0.0003153
0.05 0.1315 0.0001 0.0002605
0.05 0.0470 0.001 0.001529
0.005 0.1108 0.0001 0.0002724
0.005 0.0802 0.001 0.0004189
0.05 0.1289 0.0001 0.0002667
0.05 0.0451 0.001 0.00165
0.005 0.1159 0.0001 0.0002647
0.005 0.0995 0.001 0.00033
0.05 0.1374 0.0001 0.0002473
0.05 0.0539 0.001 0.001286
0.005 0.1239 0.0001 0.0002491
0.005 0.1142 0.001 0.0002843
0.05 0.1346 0.0001 0.0002552
0.05 0.0472 0.001 0.001537
0.005 0.1158 0.0001 0.0002598
0.005 0.0939 0.001 0.0003549
0.05 0.1267 0.0001 0.0002669
0.05 0.0552 0.001 0.001202
0.005 0.1193 0.0001 0.0002513
0.005 0.1170 0.001 0.0002859
0.05 0.1373 0.0001 0.0002423
0.05 0.0521 0.001 0.001227
0.005 0.1155 0.0001 0.0002676
0.005 0.1007 0.001 0.0003258
0.05 0.1377 0.0001 0.00025
0.05 0.0490 0.001 0.00141
0.005 0.1137 0.0001 0.0002688
0.005 0.0870 0.001 0.00041
0.05 0.1340 0.0001 0.0002581
0.05 0.0504 0.001 0.001527
0.005 0.1273 0.0001 0.0002395
0.005 0.1063 0.001 0.0003078
0.05 0.1331 0.0001 0.000257
0.05 0.0499 0.001 0.001483
0.005 0.1150 0.0001 0.0002665
0.005 0.0973 0.001 0.0003357
0.05 0.1286 0.0001 0.0002639
0.05 0.0474 0.001 0.001448
0.005 0.1242 0.0001 0.0002496
0.005 0.0934 0.001 0.0003614
0.05 0.1194 0.0001 0.0002811
0.05 0.0513 0.001 0.001224
0.005 0.1216 0.0001 0.0002525
0.005 0.0875 0.001 0.000382
0.05 0.1316 0.0001 0.0002548
0.05 0.0498 0.001 0.001301
0.005 0.1211 0.0001 0.0002522
0.005 0.0973 0.001 0.0003445
0.05 0.1204 0.0001 0.00028
0.05 0.0499 0.001 0.001348
0.005 0.1222 0.0001 0.0002523
0.005 0.1113 0.001 0.0002962
0.05 0.1409 0.0001 0.0002416
0.05 0.0566 0.001 0.001178
0.005 0.1295 0.0001 0.0002361
0.005 0.1036 0.001 0.0003353
0.05 0.1306 0.0001 0.0002603
0.05 0.0499 0.001 0.001448
0.005 0.1352 0.0001 0.0002277
0.005 0.1053 0.001 0.0003239
0.05 0.1413 0.0001 0.0002378
0.05 0.0539 0.001 0.001173
0.005 0.1207 0.0001 0.0002531
0.005 0.0984 0.001 0.0003406
0.05 0.1228 0.0001 0.0002728
0.05 0.0493 0.001 0.001231
0.005 0.1277 0.0001 0.0002385
0.005 0.1053 0.001 0.0003098
0.05 0.1419 0.0001 0.0002401
0.05 0.0475 0.001 0.001463
0.005 0.1110 0.0001 0.0002792
0.005 0.0893 0.001 0.0004153
0.05 0.1221 0.0001 0.0002817
0.05 0.0544 0.001 0.001275
0.005 0.1205 0.0001 0.0002533
0.005 0.1041 0.001 0.0003158
0.05 0.1337 0.0001 0.0002599
0.05 0.0473 0.001 0.001573
0.005 0.1272 0.0001 0.0002405
0.005 0.1022 0.001 0.0003225
0.05 0.1355 0.0001 0.0002573
0.05 0.0575 0.001 0.001325
0.005 0.1122 0.0001 0.0002716
0.005 0.0967 0.001 0.0003476
0.05 0.1409 0.0001 0.0002445
0.05 0.0509 0.001 0.001391
0.005 0.1156 0.0001 0.0002656
0.005 0.1034 0.001 0.0003307
0.05 0.1339 0.0001 0.0002504
0.05 0.0486 0.001 0.001335
0.005 0.1123 0.0001 0.0002673
0.005 0.0964 0.001 0.0003482
0.05 0.1258 0.0001 0.0002641
0.05 0.0513 0.001 0.001277
0.005 0.1170 0.0001 0.0002609
0.005 0.1044 0.001 0.0003101
0.05 0.1383 0.0001 0.0002408
0.05 0.0502 0.001 0.001287
0.005 0.1285 0.0001 0.0002407
0.005 0.1108 0.001 0.0003099
0.05 0.1416 0.0001 0.0002422
0.05 0.0525 0.001 0.001292
0.005 0.1230 0.0001 0.000247
0.005 0.1094 0.001 0.0003033
0.05 0.1426 0.0001 0.0002384
0.05 0.0514 0.001 0.001311
0.005 0.1240 0.0001 0.0002474
0.005 0.0952 0.001 0.000368
0.05 0.1338 0.0001 0.0002547
0.05 0.0514 0.001 0.001386
0.005 0.1079 0.0001 0.00028
0.005 0.0977 0.001 0.0003396
0.05 0.1333 0.0001 0.0002516
0.05 0.0514 0.001 0.001283
0.005 0.1172 0.0001 0.0002634
0.005 0.0879 0.001 0.0003836
0.05 0.1350 0.0001 0.0002591
0.05 0.0495 0.001 0.001538
0.005 0.1221 1e-05 0.0002474
0.05 0.1309 1e-05 0.0002331
0.005 0.1110 1e-05 0.0002718
0.05 0.1235 1e-05 0.0002506
0.005 0.1129 1e-05 0.0002678
0.05 0.1190 1e-05 0.0002578
0.005 0.1333 1e-05 0.0002285
0.05 0.1390 1e-05 0.0002212
0.005 0.1206 1e-05 0.0002488
0.05 0.1237 1e-05 0.0002482
0.005 0.1201 1e-05 0.000251
0.05 0.1339 1e-05 0.0002311
0.005 0.1057 1e-05 0.0002822
0.05 0.1274 1e-05 0.0002412
0.005 0.1245 1e-05 0.0002447
0.05 0.1317 1e-05 0.0002346
0.005 0.1142 1e-05 0.0002606
0.05 0.1184 1e-05 0.0002533
0.005 0.1262 1e-05 0.000242
